county,sub_county,constituency,wards
Kirinyaga,Kirinyaga South,Mwea,Gathigiriri
Kirinyaga,Kirinyaga South,Mwea,Murinduko
Kirinyaga,Kirinyaga South,Mwea,Nyangati
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Wamumu
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Thiba
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Kangai
Kirinyaga,Kirinyaga North/Mwea West,Mwea,Mutithi
Nyeri,Nyeri Central,Nyeri Town,Kamakwa/Mukaro
Nyeri,Nyeri Central,Nyeri Town,Ruring'u
Nyeri,Nyeri Central,Nyeri Town,Gatitu/Muruguru
Nyeri,Nyeri Central,Nyeri Town,Rware
Nyeri,Nyeri Central,Nyeri Town,Kiganjo/Mathari
Nyeri,Mukurweini,Mukurweini,Mukurwe-ini Central
Nyeri,Mukurweini,Mukurweini,Mukurwe-ini West
Nyeri,Mukurweini,Mukurweini,Rugi
Nyeri,Mukurweini,Mukurweini,Gikondi
Nyeri,Nyeri South,Nyeri South,Karima
Nyeri,Nyeri South,Nyeri South,Chinga
Nyeri,Nyeri South,Nyeri South,Iria-ini
Nyeri,Nyeri South,Nyeri South,Mahiga
Nyeri,Mathira East,Mathira,Karatina Town
Nyeri,Mathira West,Mathira,Kirimukuyu
Nyeri,Mathira East,Mathira,Konyu
Nyeri,Mathira East,Mathira,Iriaini
Nyeri,Mathira East,Mathira,Magutu
Nyeri,Mathira West,Mathira,Ruguru
Nyeri,Kieni East,Kieni,Gakawa
Nyeri,Kieni East,Kieni,Kabaru
Nyeri,Kieni East,Kieni,Thegu River
Nyeri,Kieni West,Kieni,Gatarakwa
Nyeri,Kieni West,Kieni,Mugunda
Nyeri,Kieni West,Kieni,Mwiyogo/Endarasha
Nyeri,Kieni East,Kieni,Naromoru/Kiamathaga
Nyeri,Kieni West,Kieni,Mweiga
Nyeri,Tetu,Tetu,Aguthi-gaaki
Nyeri,Tetu,Tetu,Wamagana
Nyeri,Tetu,Tetu,Dedan Kimathi
Nyandarua,Ndaragwa,Ndaragwa,Shamata
Nyandarua,Ndaragwa,Ndaragwa,Central
Nyandarua,Ndaragwa,Ndaragwa,Kiritta
Nyandarua,Ndaragwa,Ndaragwa,Leshau/Pondo
Nyandarua,Oljoroorok,Oljorook,Charagita
Nyandarua,Oljoroorok,Oljorook,Weru
Nyandarua,Oljoroorok,Oljorook,Gatimu
Nyandarua,Oljoroorok,Oljorook,Gathanji
Nyandarua,Olkalou,Ol Kalou,Rurii
Nyandarua,Olkalou,Ol Kalou,Kaimbaga
Nyandarua,Olkalou,Ol Kalou,Mirangine
Nyandarua,Olkalou,Ol Kalou,Kanjuiri Range
Nyandarua,Olkalou,Ol Kalou,Karau
Nyandarua,Kipipiri,Kipipiri,Githioro
Nyandarua,Kipipiri,Kipipiri,Geta
Nyandarua,Kipipiri,Kipipiri,Kipipiri
Nyandarua,Kipipiri,Kipipiri,Wanjohi
Nyandarua,Kinangop,Kinangop,Magumu
Nyandarua,Kinangop,Kinangop,Githabai
Nyandarua,Kinangop,Kinangop,Nyakio
Nyandarua,Kinangop,Kinangop,Njabani/Kiburu
Nyandarua,Kinangop,Kinangop,Murungaru
Nyandarua,Kinangop,Kinangop,North Kinangop
Nyandarua,Kinangop,Kinangop,Gathara
Nyandarua,Kinangop,Kinangop,Engineer
Makueni,Kibwezi East,Kibwezi East,Ivingoni/Nzambani
Makueni,Kibwezi East,Kibwezi East,Thange
Makueni,Kibwezi East,Kibwezi East,Mtito Andei
Makueni,Kibwezi East,Kibwezi East,Masongaleni
Makueni,Kibwezi West,Kibwezi West,Emali/Mulala
Makueni,Kibwezi West,Kibwezi West,Nguu/Masumba
Makueni,Kibwezi West,Kibwezi West,Kikumbulyu South
Makueni,Kibwezi West,Kibwezi West,Kikumbulyu North
Makueni,Kibwezi West,Kibwezi West,Nguumo
Makueni,Kibwezi West,Kibwezi West,Makindu
Makueni,Makueni,Makueni,Mbitini
Makueni,Makueni,Makueni,Nzaui/Kilili/Kalamba
Makueni,Makueni,Makueni,Kathonzweni
Makueni,Makueni,Makueni,Kitise/Kithuki
Makueni,Makueni,Makueni,Mavindini
Makueni,Makueni,Makueni,Muvau/Kikumini
Makueni,Makueni,Makueni,Wote
Makueni,Kaiti,Kaiti,Ilima
Makueni,Kaiti,Kaiti,Kilungu
Makueni,Kaiti,Kaiti,Kee
Makueni,Kaiti,Kaiti,Ukia
Makueni,Kilome,Kilome,Kima Kiu/Kalanzoni
Makueni,Kilome,Kilome,Mukaa
Makueni,Kilome,Kilome,Kasikeu
Makueni,Mbooni,Mbooni,Kalawa
Makueni,Mbooni,Mbooni,Waia-kako
Makueni,Mbooni,Mbooni,Kiteta-kisau
Makueni,Mbooni,Mbooni,Kithungo/Kitundu
Makueni,Mbooni,Mbooni,Mbooni
Makueni,Mbooni,Mbooni,Tulimani
Machakos,Mwala,Mwala,Kibauni
Machakos,Mwala,Mwala,Wamunyu
Machakos,Mwala,Mwala,Muthetheni
Machakos,Mwala,Mwala,Masii
Machakos,Mwala,Mwala,Makutano/Mwala
Machakos,Mwala,Mwala,Mbiuni
Machakos,Kalama,Machakos Town,Kola
Machakos,Machakos,Machakos Town,Muvuti/Kiima-kimwe
Machakos,Machakos,Machakos Town,Mumbuni North
Machakos,Machakos,Machakos Town,Machakos Central
Machakos,Machakos,Machakos Town,Mutituni
Machakos,Machakos,Machakos Town,Mua
Machakos,Kalama,Machakos Town,Kalama
Machakos,Athi River,Mavoko,Syokimau/Mulolongo
Machakos,Athi River,Mavoko,Muthwani
Machakos,Athi River,Mavoko,Kinanie
Machakos,Athi River,Mavoko,Athi River
Machakos,Kathiani,Kathiani,Lower Kaewa/Kaani
Machakos,Kathiani,Kathiani,Upper Kaewa/Iveti
Machakos,Kathiani,Kathiani,Kathiani Central
Machakos,Kathiani,Kathiani,Mitamboni
Machakos,Matungulu,Matungulu,Kyeleni
Machakos,Matungulu,Matungulu,Matungulu West
Machakos,Matungulu,Matungulu,Matungulu East
Machakos,Matungulu,Matungulu,Matungulu North
Machakos,Matungulu,Matungulu,Tala
Machakos,Kangundo,Kangundo,Kangundo West
Machakos,Kangundo,Kangundo,Kangundo East
Machakos,Kangundo,Kangundo,Kangundo Central
Machakos,Kangundo,Kangundo,Kangundo North
Machakos,Yatta,Yatta,Katangi
Machakos,Yatta,Yatta,Ikombe
Machakos,Yatta,Yatta,Kithimani
Machakos,Yatta,Yatta,Matuu
Machakos,Yatta,Yatta,Ndalani
Machakos,Masinga,Masinga,Ndithini
Machakos,Masinga,Masinga,Muthesya
Machakos,Masinga,Masinga,Ekalakala
Machakos,Masinga,Masinga,Masinga Central
Machakos,Masinga,Masinga,Kivaa
Kitui,Kitui South,Kitui South,Athi
Kitui,Kitui South,Kitui South,Kanziku
Kitui,Kitui South,Kitui South,Ikutha
Kitui,Kitui South,Kitui South,Mutha
Kitui,Kitui South,Kitui South,Mutomo
Kitui,Kitui South,Kitui South,Ikanga/Kyatune
Kitui,Kitui East,Kitui East,Mutitu/Kaliku
Kitui,Kitui East,Kitui East,Endau/Malalani
Kitui,Kitui East,Kitui East,Voo/Kyamatu
Kitui,Kitui East,Kitui East,Chuluni
Kitui,Kitui East,Kitui East,Nzambani
Kitui,Kitui East,Kitui East,Zombe/Mwitika
Kitui,Kitui Central,Kitui Central,Kyangwithya East
Kitui,Kitui Central,Kitui Central,Mulango
Kitui,Kitui Central,Kitui Central,Kyangwithya West
Kitui,Kitui Central,Kitui Central,Township
Kitui,Kitui Central,Kitui Central,Miambani
Kitui,Kitui Rural,Kitui Central,Kanyangi
Kitui,Kitui Rural,Kitui Rural,Kwavonza/Yatta
Kitui,Kitui Rural,Kitui Rural,Mbitini
Kitui,Kitui Rural,Kitui Rural,Kisasi
Kitui,Kitui West,Kitui West,Kwamutonga/Kithumula
Kitui,Kitui West,Kitui West,Matinyani
Kitui,Kitui West,Kitui West,Kauwi
Kitui,Kitui West,Kitui West,Mutongoni
Kitui,Mwingi Central,Mwingi Central,Waita
Kitui,Mwingi Central,Mwingi Central,Mui
Kitui,Mwingi Central,Mwingi Central,Nuu
Kitui,Mwingi Central,Mwingi Central,Nguni
Kitui,Mwingi Central,Mwingi Central,Kivou
Kitui,Mwingi Central,Mwingi Central,Central
Kitui,Mwingi West,Mwingi West,Kiomo/Kyethani
Kitui,Mwingi West,Mwingi West,Migwani
Kitui,Mwingi West,Mwingi West,Nguutani
Kitui,Mwingi West,Mwingi West,Kyome/Thaana
Kitui,Mwingi North,Mwingi North,Tharaka
Kitui,Mwingi North,Mwingi North,Tseikuru
Kitui,Mwingi North,Mwingi North,Mumoni
Kitui,Mwingi North,Mwingi North,Kyuso
Kitui,Mwingi North,Mwingi North,Ngomeni
Embu,Mbeere North,Mbeere North,Evurore
Embu,Mbeere North,Mbeere North,Muminji
Embu,Mbeere North,Mbeere North,Nthawa
Embu,Mbeere South,Mbeere South,Kiambere
Embu,Mbeere South,Mbeere South,Mavuria
Embu,Mbeere South,Mbeere South,Mbeti South
Embu,Mwea,Mbeere South,Makima
Embu,Mwea,Mbeere South,Mwea
Embu,Runyenjes,Runyenjes,Kyeni South
Embu,Runyenjes,Runyenjes,Kyeni North
Embu,Runyenjes,Runyenjes,Kagaari North
Embu,Runyenjes,Runyenjes,Central Ward
Embu,Runyenjes,Runyenjes,Kagaari South
Embu,Manyatta,Manyatta,Gaturi North
Embu,Manyatta,Manyatta,Gaturi South
Embu,Manyatta,Manyatta,Kirimari
Embu,Manyatta,Manyatta,Mbeti North
Embu,Manyatta,Manyatta,Nginda
Embu,Manyatta,Manyatta,Kithimu
Embu,Manyatta,Manyatta,Ruguru-ngandori
Tharaka Nithi,Tharaka South,Tharaka,Marimanti
Tharaka Nithi,Tharaka South,Tharaka,Chiakagira
Tharaka Nithi,Tharaka South,Tharaka,Nkondi
Tharaka Nithi,Tharaka North,Tharaka,Mukothima
Tharaka Nithi,Tharaka North,Tharaka,Gatunga
Tharaka Nithi,Igambangombe,Chuka/Igambang'ombe,Igambang'ombe
Tharaka Nithi,Chuka,Chuka/Igambang'ombe,Mugwe
Tharaka Nithi,Chuka,Chuka/Igambang'ombe,Magumoni
Tharaka Nithi,Chuka,Chuka/Igambang'ombe,Karingani
Tharaka Nithi,Igambangombe,Chuka/Igambang'ombe,Mariani
Tharaka Nithi,Mwimbi,Maara,Chogoria
Tharaka Nithi,Mwimbi,Maara,Ganga
Tharaka Nithi,Mwimbi,Maara,Mwimbi
Tharaka Nithi,Muthambi,Maara,Muthambi
Tharaka Nithi,Muthambi,Maara,Mitheru
Meru,Imenti South,South Imenti,Nkuene
Meru,Imenti South,South Imenti,Abogeta West
Meru,Imenti South,South Imenti,Abogeta East
Meru,Imenti South,South Imenti,Igoji West
Meru,Imenti South,South Imenti,Igoji East
Meru,Imenti South,South Imenti,Mitunguu
Meru,Buuri East,Buuri,Kibirichia
Meru,Imenti Central,Central Imenti,Kiagu
Meru,Imenti Central,Central Imenti,Abothuguchi West
Meru,Imenti Central,Central Imenti,Abothuguchi Central
Meru,Imenti Central,Central Imenti,Mwangathia
Meru,Buuri East,Buuri,Ruiru/Rwawera
Meru,Buuri East,Buuri,Kiirua/Naari
Meru,Buuri West,Buuri,Kisima
Meru,Buuri West,Buuri,Timau
Meru,Imenti North,North Imenti,Nyaki East
Meru,Imenti North,North Imenti,Nyaki West
Meru,Imenti North,North Imenti,Ntima West
Meru,Imenti North,North Imenti,Ntima East
Meru,Imenti North,North Imenti,Municipality
Meru,Tigania East,Tigania East,Karama
Meru,Tigania East,Tigania East,Muthara
Meru,Tigania Central,Tigania East,Kinguchwa
Meru,Tigania Central,Tigania East,Mikinduri
Meru,Tigania Central,Tigania East,Thangatha
Meru,Tigania West,Tigania West,Mbeu
Meru,Tigania West,Tigania West,Nkomo
Meru,Tigania West,Tigania West,Kianjai
Meru,Tigania West,Tigania West,Akithii
Meru,Tigania West,Tigania West,Athwana
Meru,Igembe North,Igembe North,Amwathi
Meru,Igembe North,Igembe North,Naathu
Meru,Igembe North,Igembe North,Antubetwe Kiongo
Meru,Igembe North,Igembe North,Ntunene
Meru,Igembe North,Igembe North,Antuambui
Meru,Igembe Central,Igembe Central,Kangeta
Meru,Igembe Central,Igembe Central,Njia
Meru,Igembe Central,Igembe Central,Igembe East
Meru,Igembe Central,Igembe Central,Athiru Ruujine
Meru,Igembe Central,Igembe Central,Akirang'ondu
Meru,Igembe South,Igembe South,Kanuni
Meru,Igembe South,Igembe South,Akachiu
Meru,Igembe South,Igembe South,Athiru Gaiti
Meru,Igembe South,Igembe South,Kiegoi/Antubochiu
Meru,Igembe South,Igembe South,Maua
Isiolo,Garbatulla,Isiolo South,Sericho
Isiolo,Garbatulla,Isiolo South,Kinna
Isiolo,Garbatulla,Isiolo South,Garba Tulla
Isiolo,Isiolo,Isiolo North,Oldo/Nyiro
Isiolo,Isiolo,Isiolo North,Burat
Isiolo,Isiolo,Isiolo North,Ngare Mara
Isiolo,Merti,Isiolo North,Cherab
Isiolo,Merti,Isiolo North,Chari
Isiolo,Isiolo,Isiolo North,Bulla Pesa
Isiolo,Isiolo,Isiolo North,Wabera
Marsabit,Laisamis,Laisamis,Laisamis
Marsabit,Laisamis,Laisamis,Loglogo
Marsabit,Laisamis,Laisamis,Korr/Ngurunit
Marsabit,Laisamis,Laisamis,Kargi/South Horr
Marsabit,Laisamis,Laisamis,Loiyangalani
Marsabit,Saku,Saku,Marsabit Central
Marsabit,Saku,Saku,Karare
Marsabit,Saku,Saku,Sagante/Jaldesa
Marsabit,North Horr,North Horr,Illeret
Marsabit,North Horr,North Horr,North Horr
Marsabit,North Horr,North Horr,Turbi
Marsabit,North Horr,North Horr,Maikona
Marsabit,North Horr,North Horr,Dukana
Marsabit,Moyale,Moyale,Obbu
Marsabit,Moyale,Moyale,Uran
Marsabit,Moyale,Moyale,Moyale Township
Marsabit,Moyale,Moyale,Golbo
Marsabit,Moyale,Moyale,Heillu/Manyatta
Marsabit,Moyale,Moyale,Sololo
Marsabit,Moyale,Moyale,Butiye
Mandera,Lafey,Lafey,Alungo Gof
Mandera,Lafey,Lafey,Waranqara
Mandera,Lafey,Lafey,Lafey
Mandera,Lafey,Lafey,Fino
Mandera,Lafey,Lafey,Libehia
Mandera,Mandera East,Mandera East,Township
Mandera,Mandera East,Mandera East,Neboi
Mandera,Mandera East,Mandera East,Khalalio
Mandera,Mandera East,Mandera East,Bulla Mpya
Mandera,Mandera East,Mandera East,Arabia
Mandera,Mandera South,Mandera South,Shimbir Fatuma
Mandera,Mandera South,Mandera South,Elwak North
Mandera,Mandera South,Mandera South,Elwak South
Mandera,Mandera South,Mandera South,Kutulo
Mandera,Mandera South,Mandera South,Wargudud
Mandera,Mandera North,Mandera North,Rhamu Dimtu
Mandera,Mandera North,Mandera North,Rhamu
Mandera,Mandera North,Mandera North,Marothile
Mandera,Mandera North,Mandera North,Guticha
Mandera,Mandera North,Mandera North,Ashabito
Mandera,Banissa,Banissa,Kilwehiri
Mandera,Banissa,Banissa,Malkamari
Mandera,Banissa,Banissa,Guba
Mandera,Banissa,Banissa,Derkhale
Mandera,Banissa,Banissa,Banissa
Mandera,Mandera West,Mandera West,Gither
Mandera,Mandera West,Mandera West,Dandu
Mandera,Mandera West,Mandera West,Lagsure
Mandera,Mandera West,Mandera West,Takaba
Mandera,Mandera West,Mandera West,Takaba South
Wajir,Wajir South,Wajir South,Diif
Wajir,Wajir South,Wajir South,Ibrahim Ure
Wajir,Wajir South,Wajir South,Lagboghoi South
Wajir,Wajir South,Wajir South,Habasswein
Wajir,Wajir South,Wajir South,Dadaja Bulla
Wajir,Wajir South,Wajir South,Burder
Wajir,Wajir South,Wajir South,Benane
Wajir,Eldas,Eldas,Elnur/Tula Tula
Wajir,Eldas,Eldas,Lakoley South/Basir
Wajir,Eldas,Eldas,Della
Wajir,Eldas,Eldas,Eldas
Wajir,Wajir West,Wajir West,Ganyure/Wagalla
Wajir,Wajir West,Wajir West,Ademasajide
Wajir,Wajir West,Wajir West,Hadado/Athibohol
Wajir,Wajir West,Wajir West,Arbajahan
Wajir,Tarbaj,Tarbaj,Wargadud
Wajir,Tarbaj,Tarbaj,Tarbaj
Wajir,Tarbaj,Tarbaj,Sarman
Wajir,Tarbaj,Tarbaj,Elben
Wajir,Wajir East,Wajir East,Khorof/Harar
Wajir,Wajir East,Wajir East,Barwago
Wajir,Wajir East,Wajir East,Township
Wajir,Wajir East,Wajir East,Wagberi
Wajir,Wajir North,Wajir North,Godoma
Wajir,Wajir North,Wajir North,Danaba
Wajir,Wajir North,Wajir North,Batalu
Wajir,Wajir North,Wajir North,Malkagufu
Wajir,Wajir North,Wajir North,Korondile
Wajir,Wajir North,Wajir North,Bute
Wajir,Wajir North,Wajir North,Gurar
Garissa,Ijara,Ijara,Masalani
Garissa,Ijara,Ijara,Ijara
Garissa,Hulugho,Ijara,Sangailu
Garissa,Hulugho,Ijara,Hulugho
Garissa,Fafi,Fafi,Nanighi
Garissa,Fafi,Fafi,Fafi
Garissa,Fafi,Fafi,Jarajila
Garissa,Fafi,Fafi,Dekaharia
Garissa,Fafi,Fafi,Bura
Garissa,Dadaab,Daadab,Abakaile
Garissa,Dadaab,Daadab,Liboi
Garissa,Dadaab,Daadab,Damajale
Garissa,Dadaab,Daadab,Labisgale
Garissa,Dadaab,Daadab,Dadaab
Garissa,Dadaab,Daadab,Dertu
Garissa,Lagdera,Lagdera,Baraki
Garissa,Lagdera,Lagdera,Sabena
Garissa,Lagdera,Lagdera,Maalamin
Garissa,Lagdera,Lagdera,Goreale
Garissa,Lagdera,Lagdera,Benane
Garissa,Lagdera,Lagdera,Modogashe
Garissa,Balambala,Balambala,Sankuri
Garissa,Balambala,Balambala,Saka
Garissa,Balambala,Balambala,Jarajara
Garissa,Balambala,Balambala,Danyere
Garissa,Balambala,Balambala,Balambala
Garissa,Garissa,Garissa Township,Iftin
Garissa,Garissa,Garissa Township,Township
Garissa,Garissa,Garissa Township,Galbet
Garissa,Garissa,Garissa Township,Waberi
Taita Taveta,Voi,Voi,Ngolia
Taita Taveta,Voi,Voi,Kasigau
Taita Taveta,Voi,Voi,Marungu
Taita Taveta,Voi,Voi,Kaloleni
Taita Taveta,Voi,Voi,Sagala
Taita Taveta,Voi,Voi,Mbololo
Taita Taveta,Mwatate,Mwatate,Wusi/Kishamba
Taita Taveta,Mwatate,Mwatate,Chawia
Taita Taveta,Mwatate,Mwatate,Bura(Mwatate)
Taita Taveta,Mwatate,Mwatate,Mwatate
Taita Taveta,Mwatate,Mwatate,Ronge
Taita Taveta,Wundanyi,Wundanyi,Mwanda/Mgange
Taita Taveta,Wundanyi,Wundanyi,Wumingu/Kishushe
Taita Taveta,Wundanyi,Wundanyi,Werugha
Taita Taveta,Wundanyi,Wundanyi,Wundanyi/Mbale
Taita Taveta,Taveta,Taveta,Mata
Taita Taveta,Taveta,Taveta,Mboghoni
Taita Taveta,Taveta,Taveta,Bomani
Taita Taveta,Taveta,Taveta,Mahoo
Taita Taveta,Taveta,Taveta,Chala
Lamu,Lamu West,Lamu West,Bahari
Lamu,Lamu West,Lamu West,Witu
Lamu,Lamu West,Lamu West,Hongwe
Lamu,Lamu West,Lamu West,Mkunumbi
Lamu,Lamu Central,Lamu West,Hindi
Lamu,Lamu Central,Lamu West,Mkomani
Lamu,Lamu Central,Lamu West,Shella
Lamu,Lamu East,Lamu East,Basuba
Lamu,Lamu East,Lamu East,Kiunga
Lamu,Lamu East,Lamu East,Faza
Tana River,Bura,Bura,Madogo
Tana River,Bura,Bura,Sala
Tana River,Bura,Bura,Bangale
Tana River,Bura,Bura,Bura
Tana River,Bura,Bura,Chewele
Tana River,Galole,Galole,Wayu
Tana River,Galole,Galole,Chewani
Tana River,Galole,Galole,Mikinduni
Tana River,Galole,Galole,Kinakomba
Tana River,Garsen,Garsen,Garsen North
Tana River,Garsen,Garsen,Garsen West
Tana River,Garsen,Garsen,Garsen Central
Tana River,Garsen,Garsen,Kipini West
Tana River,Garsen,Garsen,Garsen South
Tana River,Garsen,Garsen,Kipini East
Kilifi,Magarini,Magarini,Sabaki
Kilifi,Magarini,Magarini,Garashi
Kilifi,Magarini,Magarini,Adu
Kilifi,Magarini,Magarini,Gongoni
Kilifi,Magarini,Magarini,Magarini
Kilifi,Magarini,Magarini,Marafa
Kilifi,Malindi,Malindi,Shella
Kilifi,Malindi,Malindi,Malindi Town
Kilifi,Malindi,Malindi,Ganda
Kilifi,Malindi,Malindi,Kakuyuni
Kilifi,Malindi,Malindi,Jilore
Kilifi,Ganze,Ganze,Sokoke
Kilifi,Ganze,Ganze,Jaribuni
Kilifi,Ganze,Ganze,Bamba
Kilifi,Ganze,Ganze,Ganze
Kilifi,Rabai,Rabai,Rabai/Kisurutini
Kilifi,Rabai,Rabai,Kambe/Ribe
Kilifi,Rabai,Rabai,Ruruma
Kilifi,Rabai,Rabai,Mwawesa
Kilifi,Kaloleni,Kaloleni,Mwanamwinga
Kilifi,Kaloleni,Kaloleni,Kaloleni
Kilifi,Kaloleni,Kaloleni,Kayafungo
Kilifi,Kaloleni,Kaloleni,Mariakani
Kilifi,Kilifi South,Kilifi South,Mtepeni
Kilifi,Kilifi South,Kilifi South,Chasimba
Kilifi,Kilifi South,Kilifi South,Shimo La Tewa
Kilifi,Kilifi South,Kilifi South,Mwarakaya
Kilifi,Kilifi South,Kilifi South,Junju
Kilifi,Kilifi North,Kilifi North,Mnarani
Kilifi,Kilifi North,Kilifi North,Watamu
Kilifi,Kilifi North,Kilifi North,Matsangoni
Kilifi,Kilifi North,Kilifi North,Dabaso
Kilifi,Kilifi North,Kilifi North,Kibarani
Kilifi,Kilifi North,Kilifi North,Sokoni
Kilifi,Kilifi North,Kilifi North,Tezo
Kwale,Kinango,Kinango,Kasemeni
Kwale,Kinango,Kinango,Mwavumbo
Kwale,Kinango,Kinango,Chengoni/Samburu
Kwale,Kinango,Kinango,Mackinon Road
Kwale,Kinango,Kinango,Kinango
Kwale,Kinango,Kinango,Puma
Kwale,Kinango,Kinango,Ndavaya
Kwale,Matuga,Matuga,Mkongani
Kwale,Matuga,Matuga,Kubo South
Kwale,Matuga,Matuga,Tiwi
Kwale,Matuga,Matuga,Waangombeni
Kwale,Matuga,Matuga,Tsimba Golini
Kwale,Lunga Lunga,Lunga Lunga,Vanga
Kwale,Lunga Lunga,Lunga Lunga,Mwereni
Kwale,Lunga Lunga,Lunga Lunga,Dzombo
Kwale,Lunga Lunga,Lunga Lunga,Pongwe/Kikokeni
Kwale,Msambweni,Msambweni,Ramisi
Kwale,Msambweni,Msambweni,Kinondo
Kwale,Msambweni,Msambweni,Ukunda
Kwale,Msambweni,Msambweni,Gambato Bongwe
Mombasa,Mvita,Mvita,Majengo
Mombasa,Mvita,Mvita,Shimanzi/Ganjoni
Mombasa,Mvita,Mvita,Tononoka
Mombasa,Mvita,Mvita,Tudor
Mombasa,Mvita,Mvita,Mji Wa Kale/Makadara
Mombasa,Likoni,Likoni,Timbwani
Mombasa,Likoni,Likoni,Likoni
Mombasa,Likoni,Likoni,Bofu
Mombasa,Likoni,Likoni,Shika Adabu
Mombasa,Likoni,Likoni,Mtongwe
Mombasa,Nyali,Nyali,Kadzandani
Mombasa,Nyali,Nyali,Kongowea
Mombasa,Nyali,Nyali,Mkomani
Mombasa,Nyali,Nyali,Ziwa La Ng'ombe
Mombasa,Nyali,Nyali,Frere Town
Mombasa,Kisauni,Kisauni,Shanzu
Mombasa,Kisauni,Kisauni,Magogoni
Mombasa,Kisauni,Kisauni,Mtopanga
Mombasa,Kisauni,Kisauni,Mwakirunge
Mombasa,Kisauni,Kisauni,Bamburi
Mombasa,Kisauni,Kisauni,Junda
Mombasa,Kisauni,Kisauni,Mjambere
Mombasa,Jomvu,Jomvu,Mikindani
Mombasa,Jomvu,Jomvu,Miritini
Mombasa,Jomvu,Jomvu,Jomvu Kuu
Mombasa,Changamwe,Changamwe,Chaani
Mombasa,Changamwe,Changamwe,Changamwe
Mombasa,Changamwe,Changamwe,Airport
Mombasa,Changamwe,Changamwe,Kipevu
Mombasa,Changamwe,Changamwe,Port Reitz
